web_scraper_order,web_scraper_start_url,category-link-0,data,image,image2
"1761871380-1","https://www.framesbyvlad.eu/","https://www.framesbyvlad.eu/%D0%BD%D0%B0%D1%87%D0%B0%D0%BB%D0%BD%D0%B0-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0/%D0%B7%D0%B0%D0%B4-%D0%BA%D0%B0%D0%B4%D1%8A%D1%80","","",""
"1761871380-2","https://www.framesbyvlad.eu/","https://www.framesbyvlad.eu/%D0%BD%D0%B0%D1%87%D0%B0%D0%BB%D0%BD%D0%B0-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0/%D0%B7%D0%B0%D0%B4-%D0%BA%D0%B0%D0%B4%D1%8A%D1%80","","https://lh3.googleusercontent.com/sitesv/AAzXCkehJWzdIeCfaxv9fTejPufcUe0Mo4czcruxO6bc_QmwKwpR_nta5n0GL32rX3d-liofULq9gGTKJWEutfh4cpqHnTJijRbkHvoc4COKDQyb0hjncw8JkC-yH1tAkd3AUEK9ICmxo6Yw-3XkpA4faHOtR_q0_wRadNYoJHZ3Z9X8xVQtsdfPjJvo_VF8DIM-xIOfeA0AUjw_j3o5ymCiSt-1N1wQ1MRDswoG=w1280","https://lh3.googleusercontent.com/sitesv/AAzXCkevydTY9zAyNyTeLmCs6m3_hpEVBuBWhwzXvIfRtUIbAcnqAZ59JzWRDkp6GQB2v0u9V1H9hgB2NQFqr3yfaG13K7YyWglHzjIeFnbM8EOmaGVwuqa_4EsKF_QV8YQJ15cJhCxix66CK16rbP5ntORtgc4-yqT6udVXLkzC94ks07wDjUEBvaEyk4oAZ2rCml08TXSXQkD5s8g3qd9x48-KP_fqCQ4d8Nh3Ozo=w1280"
"1761871380-3","https://www.framesbyvlad.eu/","https://www.framesbyvlad.eu/%D0%BD%D0%B0%D1%87%D0%B0%D0%BB%D0%BD%D0%B0-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0/%D0%B7%D0%B0%D0%B4-%D0%BA%D0%B0%D0%B4%D1%8A%D1%80","","https://lh3.googleusercontent.com/sitesv/AAzXCkdFAdz17UgE5lFDHZIOsSpGXMXUo67Ffm6kjN18kpQpDphRRLPRdq-v3VJ0MVGSwoG1XTB5KGTyleFa3Iz_QDb54Vv6OtLazayvnk6yan3ZxnmUW-mLuRd_ZnzsCe8daNMf9XM7Jm1Cdth44fQmfNRYI05Wmc_titi7hheoWZhwlR7iBKPWh5cnpqweUBewiTcEKibJZlnaUaKvyGJwQePu1o6TyJdVTPl4XdI=w1280",""
"1761871380-4","https://www.framesbyvlad.eu/","https://www.framesbyvlad.eu/%D0%BD%D0%B0%D1%87%D0%B0%D0%BB%D0%BD%D0%B0-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0/%D0%B7%D0%B0%D0%B4-%D0%BA%D0%B0%D0%B4%D1%8A%D1%80","","https://lh3.googleusercontent.com/sitesv/AAzXCkcz0VoHDVweAvZ0M-vNW5nuGaYxquNMVCjggZwgLsm3MNXtZkqk3vCqicqLtfGQCgAo97IptV8Dw8exH4nWsAapcn8BF2-cobvf2TBntIxBqhjYBuTtBzrvX1BBp1SvfFsn5KYZ8h_bcrt788fdVw-Ld7OQGuJi0jj4ivlCSYwE_c-QBOUFQpkPhpifBRTZZmz5YoFdf1yweWrbzElrNtCh9L7nHhSo-4wt=w1280","https://lh3.googleusercontent.com/sitesv/AAzXCke0YnAlOVf9pM2CfJ-3T6N_9VS4CTANGZTAU59cpLHxdqcrCuDaB-th_IeE9TS94c6bcs_AVKIpfS8bXvA4JlDA5k1OAo-MNb3tsYJmGzREhABQvnIHKxB5gdz0QAPnuRnvQE68M6KbYz-dXQDdzAwtoXD5m2uDwwFe8iM5c5j2mN62xqtfNrW2fcCECmQaOEsHlE98K4vNjT58wOP5kZysUA350a2h8ci5FOA=w1280"
"1761871380-5","https://www.framesbyvlad.eu/","https://www.framesbyvlad.eu/%D0%BD%D0%B0%D1%87%D0%B0%D0%BB%D0%BD%D0%B0-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0/%D0%B7%D0%B0%D0%B4-%D0%BA%D0%B0%D0%B4%D1%8A%D1%80","","https://lh3.googleusercontent.com/sitesv/AAzXCkcUMCcrOJntk-hk1zds7fNG_4r1oTkjb41daZu2ZeIwBGvgW50KM0s-JF7l3Vt3LbCbbhD3c2Kv9FacehZkYkbSYnxApls9DOyOapSjBbROd9guXbCVMvXni40ZMgzC6f89SjA-YF9buaeYSJZSO8BdrGaejs2trzg9rD1Xj6AVcu1VuLLakch_xqwV0Z5VSQzUO-V9tN8Ezu2S1pVcAILI1IKwwtlESrGTEUY=w1280","https://lh3.googleusercontent.com/sitesv/AAzXCkdhlorracO0XRcMoOPJYKVK1v8i07Qf6gggZcvd2xGZpGkigpAky0OZnp6Mc9o3R8sckB98UkNvkoAqASmSEqh9NrO9LGA8lA7qh1JUzgUoEub-XnzbQVCUMSc0G6H6Cwy6asjB4_Q-3LUDBqcfaXTknJaHMeAdOEuR5kR8ewhiqWR1D7S-8FoFkfMTF5Rbf03JXDjBxBEPiZZFOjsBBb2e5YL8jj0NEfmL=w1280"
"1761871380-6","https://www.framesbyvlad.eu/","https://www.framesbyvlad.eu/%D0%BD%D0%B0%D1%87%D0%B0%D0%BB%D0%BD%D0%B0-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0/%D0%B7%D0%B0%D0%B4-%D0%BA%D0%B0%D0%B4%D1%8A%D1%80","","https://lh3.googleusercontent.com/sitesv/AAzXCkfa83jLhvesZlXR4wzE4r4_aNePBDrauWnpmuiS7C3ieF-_KGLEG6Xt69bxSt9H-VvejclNZ05bbg_IMmGaiFcUWCBXtc537C-vrx25q9nacyrpb0SHHdlFC1TjKQmq2C_KIqGtGGiZrTHN22OMFiS4HCd7oQ3Rt78rPj60Z200Pv4Kgj6yxGW1lHqeYayBl7gyoTd48UNFN2NbARryhl5zRYAA58J5Ibji=w1280","https://lh3.googleusercontent.com/sitesv/AAzXCkexsB0MZ30QqQHUuSW6BK16o06CUEz1blDBQ1gpn1njl0CE4Noh2qTO_qD5SphXML4qyXNpfLaqAp6mtD4tMvJ77anFBvVqKyyzYRRfh2pWxy-gHRQDfdzmA3JwVsBrq76qpfnmTyeERvwDTVa2A44usP3f-tqCJeF-1TTQDECkrq-F8eOEUvfyHPW_DFZXrz5OdAkY9vr6ssCG3Om-NRZkN5T-fgPYK1TpHww=w1280"
"1761871380-7","https://www.framesbyvlad.eu/","https://www.framesbyvlad.eu/%D0%BD%D0%B0%D1%87%D0%B0%D0%BB%D0%BD%D0%B0-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0/%D0%B7%D0%B0%D0%B4-%D0%BA%D0%B0%D0%B4%D1%8A%D1%80","","https://lh3.googleusercontent.com/sitesv/AAzXCkfD_x5-bVAt5_gnTLM4oNSh0eJ6t1I6GKzzG8XH5S1-aEgKcX5g3S8WMXCNALuXvB-TNPmsuB3vUkj8zusVySjz1hiAzkhrG1QIlvfliaWaOvFpd--G_PND-StxB-TPJ9SDpPT2Q4JhPVKW5g4MkMwBtzcY22EN-JF8E3Rls-OMW_pkLW4U2qB_vCEYNHd-ODrsILcOASyIkyTB4t73noMpSBGvieGjbW3OhaA=w1280","https://lh3.googleusercontent.com/sitesv/AAzXCkdI1JEtywyyy2UG_fRS6LRGmDH8cTXYmhQmFVfWv0GGhIbkqz0-5Vhdv-jivGFxrPGCF4PdDbQMz8B842GOg3wEvMEbEfJGsz02jU--ySKOuq0S4bG88xSN7LAJEUVrXQ94zUvaM4D7eWvNmrbd4hdqxFmdN45NMkpTiYFuS46EFRC8FJEeBA7-Dboawys7wZqJ_MZPs8pz9Gc7XruoXAYS0FbQZJ9ehcpM=w1280"
"1761871380-8","https://www.framesbyvlad.eu/","https://www.framesbyvlad.eu/%D0%BD%D0%B0%D1%87%D0%B0%D0%BB%D0%BD%D0%B0-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0/%D0%B7%D0%B0%D0%B4-%D0%BA%D0%B0%D0%B4%D1%8A%D1%80","","https://lh3.googleusercontent.com/sitesv/AAzXCkejiQ8NAMHAmOsoqSPfGQb1hc5W1njIEOvHDJlv14IPyjZYsfQNiG5CJpXxBvMgeG-OTYzNc4EMImHTdM1lqqb4gq8GrvBEdi9eTc-1k0Q5jFEmb97yfT6DftHgmaThPdCq560xcEBArnOoRB3ES337zPu-5itscBdW9gTvlZEVZLb7JVdJ0C5HyH5bYSillAgMNT5hd8EQyKwZeAakPptYua51yHna9uJtlR8=w1280","https://lh3.googleusercontent.com/sitesv/AAzXCkecsiQksfCJXAPluVe3IP-Q_bbSEgTfiIbvJ4r4zWXc1Oerr52H2ZokZpYpHjU2YH94xTYx6juDaY49fuj03yp6u9DLDrGWrdqX46U6VcBOr_6HnMwagiWnL1geWquD_7pwsXqQQJpdnbq8leL_Y3koThMlhE5JTJGyI1i58Eljf1c-z6DIPGsgDzsDi_gGNhPbw7pG9hoLMaTpWLqHoTSIBbqCjs2d8iDNYvA=w1280"
"1761871380-9","https://www.framesbyvlad.eu/","https://www.framesbyvlad.eu/%D0%BD%D0%B0%D1%87%D0%B0%D0%BB%D0%BD%D0%B0-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0/%D0%B7%D0%B0%D0%B4-%D0%BA%D0%B0%D0%B4%D1%8A%D1%80","","https://lh3.googleusercontent.com/sitesv/AAzXCkf5_8cc9vxL8brN4-2Yizl6uM0MvBFgVVuxPQbh1KCN86y3yHaBfuf5sViN0y7_nou7slwmyHKm4kFzA9iZHJh18UkKktNW8NJBj1ARPUePZSIuqAfkpksyQvT4dLJLg9BPkBB18LFu4x-wk4POIs5GCvdqGRUVopsSOTrujSqOFW1mDluS4TbA108J7AwO7D1bhfK6IKqakX177fiuiaIyxldHTo09fwCJg0U=w1280","https://lh3.googleusercontent.com/sitesv/AAzXCkfi27rh4eLGUPenUImtbyVlgIvory9R7MHetfa7iSGtyFU_lMcArL7zSg9--6S4U2p2ErKXATTdIj1Qq9AA3APfZ4YTrTyN1WL6_olYY15y5gvoKbNW84ZZiu7zch-4WqwFj-gtBWXrNwFprUDi7sDZUKoy2yVBvhItBtJJVv6Cv5rjfvfu0YoYJAihEjlB-zeDeuNRCHOXN2rr_UmxT1klllcejP8ZlWCe=w1280"
"1761871380-10","https://www.framesbyvlad.eu/","https://www.framesbyvlad.eu/%D0%BD%D0%B0%D1%87%D0%B0%D0%BB%D0%BD%D0%B0-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0/%D0%B7%D0%B0%D0%B4-%D0%BA%D0%B0%D0%B4%D1%8A%D1%80","","https://lh3.googleusercontent.com/sitesv/AAzXCkeqgHqvay_1VsvNsfLn0UGHi7NG6PQdbK7xUBTgFPu3es7ugq7QhAycztgRsh_cZXHo9I4UorNzoJB_tGF1Fj2UJ7dh8H7XqFlIwUAXfPNybykQfIWmg3FU9yh6omTN4WelpJQ3ZvQMHdXmjftix9Es-EKNyKeR2oAlffTPJb2XqR6BLg4qhCBmrnNoFYBLtUGSWiYGX5Yn1uEguzpsVYJNmTnxZgelPkaZ=w1280","https://lh3.googleusercontent.com/sitesv/AAzXCkevFQ1tW_HGitERHg-5EpJaRaCiybiO6-89gI5J24dZbzdHzfdP9_l9vUvtz1tb43N_4YksWB3qQ5CuAwckycyVxaH9QWEbErX6lgSPFUQa-vsGBLirlqtYzVQC7H0HwFN8JBVFg78-jWq4hZxPAP-lYQ4LCZ2ocUYrQTQ0mlnmpPnjN0TkFMdMbUCUdTu4wrBdZXhlxCuZavAJZhphkvepOoVFKf2qggcybHI=w1280"
